type,geometry_type,geometry_coordinates,properties_state,properties_code,properties_name,properties_zone,properties_address,geometry
Feature,Point,"[82.004241, 25.947331]",,CIL,CHILBILA JN,,,
Feature,Point,"[82.00177799999999, 25.913308]",,PBH,PARTAPGARH JN,,,
Feature,Point,"[82.012834469, 25.855539958599998]",,PHV,PIRTHIGANJ,,,
Feature,Point,"[82.040632, 25.801595]",,DND,DANDUPUR,,,
Feature,Point,"[82.091774, 25.749367000000003]",,GRX,GAURA,,,
Feature,Point,"[82.14656199999999, 25.698842000000003]",,SWS,SUWANSA,,,
Feature,Point,"[82.190552, 25.652268]",,BSE,BADSHAHPUR,,,
Feature,Point,"[82.24969700000001, 25.600347]",,NBP,NIBHAPUR,,,
Feature,Point,"[85.943313, 20.529594]",,MACR,MANGULI CHOWDWAR,,,
Feature,,,,KGPW,KGPW,,,
Feature,Point,"[86.08116700000001, 23.067871]",,GDBR,GOONDA BIHAR,,,
Feature,Point,"[86.0297573352, 23.082344321900003]",,JHMR,JHIMRI,,,
Feature,Point,"[86.0119228906, 23.091614317500003]",,HNSL,HASLANG P.H.,,,
Feature,Point,"[85.98911700000001, 23.098392]",,LTMD,LATEMDA,,,
Feature,Point,"[85.970936, 23.095049]",,BKKI,BAKARKUDI,,,
Feature,Point,"[85.930834, 23.132246]",,TUL,TIRALDIH,,,
Feature,Point,"[85.909013, 23.196775]",,SSIA,SUISA,,,
Feature,Point,"[85.858638, 23.26814]",,TRAN,TORANG,,,
Feature,Point,"[85.8587351117, 23.291632860900002]",,ILO,ILLOO,,,
Feature,Point,"[77.31521255, 28.650503565399998]",,ANVT,ANAND VIHAR TRM,,,
Feature,Point,"[77.699434, 28.347316]",,WIR,WAIR,,,
Feature,Point,"[78.2071583875, 27.244947755000002]",,WSC,SHIVARAMPUR,,,
Feature,Point,"[86.102793, 22.796889]",,GMH,GAMHARIA,,,
Feature,Point,"[86.13389199999999, 23.811038]",,TELO,TELO,,,
Feature,Point,"[86.158954, 22.782212]",,ADTP,ADITYAPUR,,,
Feature,Point,"[86.20056000000001, 22.768954]",,TATA,TATANAGAR JN,,,
Feature,Point,"[86.228747, 22.75832]",,SLJR,SALGA JHARI,,,
Feature,,,,GVDP,GVDP,,,
